racenum,startnum,horsename,driver,trainer,playpercent,moneywin,resrace1,pricesumrace1,resrace2,pricesumrace2,resrace3,pricesumrace3,resrace4,pricesumrace4,resrace5,pricesumrace5,winnernum,driver_id,trainer_id,winner
3,4,Sahara Peyote,Hannu Torvinen,Mika Haapakangas,1,2326985,7,60.0,9,100.0,7,60.0,9,50.0,9,75.0,5,20,19,0
3,5,Rackham,Christoffer Eriksson,Christoffer Eriksson,20,2268989,3,60.0,8,200.0,9,30.0,2,30.0,9,30.0,5,10,9,1
3,6,Dear Friend,Johan Untersteiner,Amanda Höynä,23,6535696,1,220.0,6,30.0,5,30.0,9,30.0,2,30.0,5,6,20,0
3,7,Cicero T.G.,Magnus Teien Gundersen,Geir Vegard Gundersen,23,2247257,6,400.0,9,30.0,6,1500.0,2,30.0,9,30.0,5,21,21,0
3,8,Emoji,Flemming Jensen,Flemming Jensen,8,2825390,1,30.0,3,200.0,1,30.0,7,400.0,2,60.0,5,22,22,0
4,1,Woodbury Wine,Peter Untersteiner,Johan Untersteiner,24,686750,1,40.0,2,60.0,7,60.0,9,110.0,1,40.0,4,19,5,0
4,2,Aperfecttric,Kevin Oscarsson,Jim Oscarsson,1,1291550,9,220.0,9,110.0,8,110.0,2,60.0,7,60.0,4,23,23,0
4,3,Mission Beach,Linus Lönn,Thomas Lönn,3,784380,8,220.0,4,40.0,9,110.0,9,110.0,3,30.0,4,24,24,0
4,4,Tour Eiffel,Peter Ingves,Morten Melin,12,719069,2,60.0,1,30.0,2,30.0,2,30.0,5,30.0,4,25,25,1
4,5,Nina Ginto,Gustav Johansson,Sofia Aronsson,27,1393500,4,110.0,3,150.0,6,220.0,4,110.0,2,100.0,4,8,26,0
4,6,Green Mamba,Marcus Lilius,Jan-Olov Persson,20,1056016,6,220.0,5,40.0,2,60.0,4,35.0,2,40.0,4,26,27,0
4,7,Special Topmodel,Hannu Torvinen,Mika Haapakangas,4,713194,4,60.0,9,800.0,4,200.0,3,110.0,2,220.0,4,20,19,0
4,8,Special Topsecret,Dwight Pieters,Mika Haapakangas,1,456386,7,60.0,8,110.0,1,40.0,2,60.0,6,150.0,4,27,19,0
4,9,Madame af Djupmyra,Conrad Lugauer,Emilia Gettermann,2,826600,5,60.0,9,40.0,7,75.0,4,60.0,7,110.0,4,15,28,0
4,10,Classy Knox,Stefan Persson,Håkan K Persson,3,404650,4,220.0,3,110.0,1,40.0,1,40.0,2,50.0,4,0,29,0
4,11,Readly's Dream,Johan Untersteiner,Johan Untersteiner,2,821324,9,220.0,7,110.0,3,110.0,9,70.0,7,200.0,4,6,5,0
5,1,Kentucky River,Per Nordström,Per Nordström,61,1309000,4,800.0,3,200.0,9,30.0,6,200.0,9,2000.0,11,18,12,0
